order_id,product_id,product_name,category,supplier,price,quantity,order_date,customer_id,region,city,marketing_channel,return_reason,return_status,is_returned,return_days
O100031,P5008,Seem,Home,BrandB,61.94,3,2025-03-05,C7496,South,Avilafurt,Ads,Not as described,Denied,1,3
O100032,P4097,Compare,Beauty,BrandB,324.92,3,2025-04-19,C8848,West,South Darren,Email,Not as described,Approved,1,8
O100033,P5500,Moment,Apparel,BrandB,450.48,1,2025-02-01,C6274,South,East Ronald,Email,Not Returned,Not Returned,0,0
O100034,P8560,Really,Books,BrandC,480.31,3,2025-02-02,C5107,South,Barrettborough,Influencer,Not Returned,Not Returned,0,0
O100035,P7062,South,Books,BrandA,44.93,1,2025-03-05,C9700,South,Wilsonchester,Email,Not Returned,Not Returned,0,0
O100036,P5453,Run,Home,BrandD,332.74,1,2024-12-21,C8334,West,Cordovahaven,Social Media,Not Returned,Not Returned,0,0
O100037,P7601,Field,Apparel,BrandC,234.02,1,2024-11-23,C2766,East,West Christinebury,Social Media,Not Returned,Not Returned,0,0
O100038,P8722,Idea,Electronics,BrandC,290.23,1,2025-01-03,C1726,North,Dianafurt,Direct,Not Returned,Not Returned,0,0
O100039,P3724,Every,Home,BrandA,416.7,3,2025-01-23,C3550,West,Jonesshire,Ads,Not Returned,Not Returned,0,0
O100040,P1446,Avoid,Beauty,BrandB,151.38,1,2025-01-23,C5572,North,West Rebecca,Direct,Not Returned,Not Returned,0,0
O100041,P7823,Indicate,Apparel,BrandD,386.04,3,2025-01-24,C3519,West,Port Danieltown,Ads,Not Returned,Not Returned,0,0
O100042,P5410,Develop,Books,BrandA,476.84,3,2025-03-16,C3457,West,Ramirezport,Email,Not Returned,Not Returned,0,0
O100043,P3165,Some,Home,BrandD,149.18,2,2024-11-17,C8266,South,East Emily,Ads,Not as described,Denied,1,12
O100044,P9879,Sport,Beauty,BrandC,114.98,3,2025-02-21,C7366,East,North Brianna,Social Media,Defective,Denied,1,10
O100045,P6983,Though,Electronics,BrandB,108.54,2,2024-11-26,C2404,South,Lake Richardfort,Email,Not Returned,Not Returned,0,0
O100046,P3970,Medical,Apparel,BrandD,329.41,3,2025-01-17,C6640,West,Lake Ashleystad,Ads,Not Returned,Not Returned,0,0
O100047,P4667,Side,Beauty,BrandD,198.09,1,2024-11-20,C9967,East,Gibbsfort,Direct,Not Returned,Not Returned,0,0
O100048,P5716,Opportunity,Books,BrandD,498.74,1,2024-11-11,C8279,North,Port Brookemouth,Ads,Defective,Denied,1,14
O100049,P5477,Mrs,Electronics,BrandB,369.73,2,2025-04-24,C3733,West,Port Kevinview,Email,Not as described,Denied,1,8
O100050,P4501,Star,Home,BrandD,454.63,2,2025-01-23,C9587,West,Lake Richardberg,Influencer,Not Returned,Not Returned,0,0
O100051,P2311,Day,Beauty,BrandB,299.69,1,2025-02-12,C7328,North,North Amber,Social Media,Wrong item,Denied,1,4
O100052,P7936,Republican,Beauty,BrandA,101.14,2,2025-02-22,C4662,North,South Robert,Ads,Not Returned,Not Returned,0,0
O100053,P7428,Question,Apparel,BrandB,145.07,2,2025-02-07,C2783,East,New Michelle,Ads,Not Returned,Not Returned,0,0
O100054,P7202,Play,Apparel,BrandC,176.12,1,2024-11-11,C6844,East,South Kylemouth,Influencer,Not Returned,Not Returned,0,0
O100055,P3807,Position,Electronics,BrandD,162.73,1,2025-03-06,C3197,East,Lake Michelle,Influencer,Not Returned,Not Returned,0,0
O100056,P3293,Attorney,Electronics,BrandC,101.79,3,2025-02-20,C1232,South,South Latashahaven,Ads,Wrong item,Denied,1,7
O100057,P2265,Game,Beauty,BrandC,141.64,3,2024-12-11,C4190,South,Port Robert,Ads,Not Returned,Not Returned,0,0
O100058,P8339,Full,Home,BrandB,165.4,1,2025-01-01,C4682,West,North Bradley,Ads,Wrong item,Denied,1,13
O100059,P2883,Product,Electronics,BrandD,255.45,1,2025-02-06,C4606,North,Port Kristenberg,Direct,Wrong item,Approved,1,7
O100060,P6878,Hospital,Books,BrandB,87.51,3,2025-01-29,C9815,East,Ferrellfort,Email,Not Returned,Not Returned,0,0
O100061,P7185,Walk,Apparel,BrandC,48.08,2,2024-11-14,C2044,West,West Micheleshire,Ads,Not Returned,Not Returned,0,0
O100062,P2020,Son,Electronics,BrandC,490.43,3,2025-01-16,C1945,North,West Amanda,Ads,Not Returned,Not Returned,0,0
O100063,P1954,Never,Home,BrandD,124.95,2,2025-04-18,C4187,North,Edwardstad,Direct,Not as described,Approved,1,12
O100064,P1452,According,Apparel,BrandD,69.13,1,2025-02-21,C2567,West,Port Julie,Direct,Not Returned,Not Returned,0,0
O100065,P8912,Two,Books,BrandC,308.7,2,2025-03-06,C1865,North,Wellsstad,Social Media,Wrong item,Approved,1,15
O100066,P7068,Person,Books,BrandA,74.92,3,2024-12-31,C8419,East,Martinezchester,Social Media,Not Returned,Not Returned,0,0
O100067,P8899,Buy,Beauty,BrandC,42.06,1,2025-03-08,C6595,South,Williamsborough,Direct,Wrong item,Denied,1,10
O100068,P2703,People,Home,BrandD,421.61,1,2025-01-28,C7101,West,West Faith,Influencer,Not Returned,Not Returned,0,0
O100069,P8004,Teacher,Apparel,BrandA,204.1,3,2025-01-28,C9609,South,Lewishaven,Direct,Not Returned,Not Returned,0,0
O100070,P2385,Change,Beauty,BrandC,221.93,3,2024-11-16,C3599,East,Jenniferstad,Social Media,Late delivery,Denied,1,5
O100071,P3478,Officer,Books,BrandC,484.51,3,2025-01-27,C1206,South,New Crystal,Direct,Not Returned,Not Returned,0,0
O100072,P4831,Idea,Apparel,BrandD,300.58,3,2025-04-14,C2512,South,Lake Eric,Email,Not Returned,Not Returned,0,0
O100073,P5276,Great,Electronics,BrandA,215.04,3,2025-04-14,C7901,North,Fletcherside,Social Media,Not Returned,Not Returned,0,0
O100074,P2897,Remain,Beauty,BrandD,213.25,1,2025-04-01,C9629,East,Ballardborough,Influencer,Not Returned,Not Returned,0,0
O100075,P2882,Agree,Apparel,BrandC,202.69,1,2025-05-01,C7335,South,South Steventown,Email,Not Returned,Not Returned,0,0
O100076,P9144,Write,Books,BrandD,142.05,2,2025-05-04,C3725,West,West Tara,Ads,Defective,Approved,1,4
O100077,P2487,Whom,Books,BrandC,422.76,1,2025-03-12,C4127,West,West Maria,Social Media,Not Returned,Not Returned,0,0
O100078,P9087,Bank,Home,BrandB,499.8,2,2025-05-06,C6980,West,Bethanychester,Ads,Defective,Denied,1,13
O100079,P8862,Care,Books,BrandD,329.3,3,2025-04-23,C3830,South,Smithchester,Social Media,Not Returned,Not Returned,0,0
O100080,P3657,Television,Electronics,BrandD,335.89,2,2025-01-05,C5408,West,Kristinland,Ads,Not Returned,Not Returned,0,0
O100081,P8379,Sense,Home,BrandC,393.84,3,2025-05-10,C1552,South,Phillipsburgh,Social Media,Changed mind,Denied,1,11
O100082,P4154,Right,Books,BrandC,248.57,3,2024-12-25,C6542,South,Caseyton,Ads,Not Returned,Not Returned,0,0
O100083,P8554,Become,Electronics,BrandD,401.88,2,2025-03-09,C1225,South,Haleyland,Ads,Changed mind,Approved,1,4
O100084,P7254,Behind,Electronics,BrandB,451.42,3,2024-11-15,C9918,North,Jameschester,Direct,Not Returned,Not Returned,0,0
O100085,P4676,She,Books,BrandC,281.87,3,2025-03-06,C5381,West,Joyceland,Email,Not Returned,Not Returned,0,0
O100086,P1485,Family,Home,BrandD,231.67,3,2025-04-12,C2488,South,Rogersport,Influencer,Wrong item,Approved,1,14
O100087,P8459,Produce,Electronics,BrandD,46.1,1,2025-03-18,C7200,East,Lake Charlesside,Direct,Not Returned,Not Returned,0,0
O100088,P4997,Third,Beauty,BrandD,387.88,2,2025-02-25,C9208,West,Richardsonburgh,Direct,Not Returned,Not Returned,0,0
O100089,P3171,Technology,Books,BrandB,343.84,2,2024-12-23,C3837,North,Lake Emily,Influencer,Not Returned,Not Returned,0,0
O100090,P1085,Reason,Electronics,BrandB,104.99,3,2025-04-27,C6548,East,South Gregory,Influencer,Not Returned,Not Returned,0,0
O100091,P7146,Rich,Home,BrandA,427.68,2,2025-02-03,C8218,South,Lake Samantha,Social Media,Not Returned,Not Returned,0,0
O100092,P4162,Remain,Apparel,BrandA,171.68,3,2024-12-01,C8794,West,Lukebury,Direct,Not Returned,Not Returned,0,0
O100093,P2095,Woman,Home,BrandA,277.61,2,2024-12-11,C5114,West,Paynefurt,Email,Not Returned,Not Returned,0,0
O100094,P8361,Four,Home,BrandD,361.49,1,2025-05-03,C6718,South,New Jonathan,Ads,Not Returned,Not Returned,0,0
O100095,P2483,Quality,Home,BrandA,477.62,2,2025-02-19,C4901,South,West Alexander,Direct,Not Returned,Not Returned,0,0
O100096,P9759,Newspaper,Electronics,BrandA,304.48,2,2025-01-20,C5269,East,Shawnaville,Social Media,Not Returned,Not Returned,0,0
O100097,P7569,You,Apparel,BrandB,352.57,1,2025-03-21,C4643,West,Owensstad,Email,Not Returned,Not Returned,0,0
O100098,P7140,Become,Beauty,BrandD,351.37,2,2025-04-08,C9061,South,Sharonhaven,Email,Not Returned,Not Returned,0,0
O100099,P1776,Well,Home,BrandA,217.74,2,2025-04-14,C4218,West,Port Brandyburgh,Influencer,Wrong item,Denied,1,5
O100100,P9396,Six,Electronics,BrandB,126.99,2,2025-05-07,C6075,East,Port Jeremy,Direct,Not Returned,Not Returned,0,0
O100101,P8184,Imagine,Books,BrandB,403.03,2,2024-11-19,C7078,East,Jamesborough,Email,Not as described,Approved,1,3
O100102,P5186,Term,Apparel,BrandB,139.65,1,2025-01-25,C6215,South,Bartonhaven,Ads,Not Returned,Not Returned,0,0
O100103,P7072,Miss,Books,BrandB,335.21,1,2024-12-25,C3721,North,Christopherport,Ads,Not Returned,Not Returned,0,0
O100104,P1339,Build,Home,BrandA,90.5,2,2025-04-26,C6471,East,East Leslieberg,Ads,Not Returned,Not Returned,0,0
O100105,P4658,Move,Books,BrandD,392.27,3,2025-01-06,C4942,East,New Jacob,Ads,Not Returned,Not Returned,0,0
O100106,P1693,Only,Apparel,BrandC,350.97,2,2025-02-17,C2399,West,East Kimberlymouth,Direct,Not Returned,Not Returned,0,0
O100107,P5178,Model,Home,BrandC,78.9,2,2025-05-07,C1958,West,South Heatherport,Social Media,Defective,Approved,1,2
O100108,P9330,Particular,Apparel,BrandA,25.24,1,2025-03-27,C4645,East,East Anthonyview,Influencer,Not Returned,Not Returned,0,0
O100109,P5378,Involve,Beauty,BrandB,476.85,1,2025-03-05,C1965,North,Carterview,Ads,Not Returned,Not Returned,0,0
O100110,P2714,Six,Books,BrandC,356.55,2,2025-04-05,C6783,North,Markborough,Influencer,Not Returned,Not Returned,0,0
O100111,P9200,Leave,Apparel,BrandD,263.49,1,2025-04-26,C9440,West,Ramseyhaven,Direct,Late delivery,Approved,1,12
O100112,P6916,Start,Beauty,BrandA,303.43,3,2025-03-30,C5674,West,Andrewsside,Direct,Not Returned,Not Returned,0,0
O100113,P9930,Receive,Books,BrandB,208.0,2,2024-11-18,C4150,East,West Franceschester,Influencer,Not as described,Denied,1,9
O100114,P6662,Clear,Beauty,BrandD,448.02,1,2025-05-10,C7525,West,Lake Andrew,Ads,Not Returned,Not Returned,0,0
O100115,P7889,Finally,Beauty,BrandA,263.0,2,2025-01-15,C3710,West,South Taylor,Social Media,Changed mind,Denied,1,12
O100116,P4823,Fish,Beauty,BrandB,109.88,3,2024-11-13,C2499,North,Harrisbury,Email,Not Returned,Not Returned,0,0
O100117,P8894,Compare,Beauty,BrandB,79.93,3,2025-01-24,C6713,West,Port Jeffrey,Ads,Not Returned,Not Returned,0,0
O100118,P4871,Impact,Books,BrandA,100.79,1,2025-05-06,C6727,East,East Lisachester,Direct,Not Returned,Not Returned,0,0
O100119,P2145,Per,Apparel,BrandD,314.85,3,2025-02-18,C7394,South,Sarachester,Email,Not Returned,Not Returned,0,0
O100120,P5945,Hand,Books,BrandD,212.45,3,2024-12-18,C3523,West,Robertton,Ads,Not Returned,Not Returned,0,0
O100121,P2449,Present,Beauty,BrandB,190.04,3,2025-02-22,C6023,East,Jamesview,Email,Not Returned,Not Returned,0,0
O100122,P6619,Simple,Home,BrandC,230.06,2,2025-02-27,C9243,South,Riosberg,Influencer,Not Returned,Not Returned,0,0
O100123,P7426,Provide,Home,BrandA,252.78,3,2024-11-10,C4583,North,Leslietown,Social Media,Changed mind,Approved,1,7
O100124,P7742,Wait,Electronics,BrandC,210.74,2,2025-05-01,C3263,North,East Amanda,Influencer,Not as described,Approved,1,8
O100125,P9191,Door,Electronics,BrandD,223.4,3,2025-05-01,C9229,East,Danahaven,Direct,Not Returned,Not Returned,0,0
O100126,P3034,Professional,Home,BrandC,413.89,3,2024-12-19,C8309,East,New Cassandrashire,Direct,Not Returned,Not Returned,0,0
O100127,P4219,Few,Electronics,BrandD,432.18,1,2024-11-25,C4197,East,West Johnberg,Ads,Not Returned,Not Returned,0,0
O100128,P1485,Term,Electronics,BrandA,328.95,1,2024-12-14,C1471,South,South Juanton,Direct,Late delivery,Denied,1,5
O100129,P4868,Institution,Beauty,BrandD,230.55,1,2025-04-29,C2876,South,South Jessicaberg,Social Media,Not Returned,Not Returned,0,0
O100130,P4641,Operation,Books,BrandA,483.45,1,2025-03-09,C2975,South,Wendyhaven,Direct,Not Returned,Not Returned,0,0
O100131,P2878,Trial,Apparel,BrandB,368.17,1,2025-01-25,C3314,South,East Davidton,Social Media,Not Returned,Not Returned,0,0
O100132,P8183,Father,Electronics,BrandD,475.37,2,2025-02-24,C6818,North,Lauraland,Ads,Not Returned,Not Returned,0,0
O100133,P1589,House,Electronics,BrandA,239.27,1,2024-12-23,C3905,South,Patriciashire,Direct,Not Returned,Not Returned,0,0
O100134,P6524,Teach,Apparel,BrandA,486.11,3,2025-04-16,C3473,East,Port Sonya,Social Media,Not Returned,Not Returned,0,0
O100135,P4838,Condition,Books,BrandC,313.23,3,2025-02-11,C6992,South,Morganside,Direct,Not Returned,Not Returned,0,0
O100136,P3071,Environmental,Apparel,BrandA,446.64,1,2024-12-06,C8203,North,Port Cameron,Email,Not Returned,Not Returned,0,0
O100137,P5996,Town,Home,BrandB,159.19,3,2025-02-07,C5936,North,Lopezchester,Email,Not Returned,Not Returned,0,0
O100138,P2287,North,Electronics,BrandC,197.69,2,2025-03-30,C4274,South,Colemanborough,Ads,Not Returned,Not Returned,0,0
O100139,P8870,Anyone,Electronics,BrandB,389.61,3,2024-12-29,C9286,North,Henryfurt,Social Media,Not Returned,Not Returned,0,0
O100140,P3888,Difference,Electronics,BrandA,53.11,1,2025-01-05,C9839,East,Angelaborough,Email,Not Returned,Not Returned,0,0
O100141,P8573,Throw,Books,BrandC,374.63,2,2024-11-27,C9543,East,Maytown,Direct,Changed mind,Denied,1,13
O100142,P4942,Care,Books,BrandA,369.12,2,2025-03-31,C2942,West,Ramirezshire,Influencer,Not Returned,Not Returned,0,0
O100143,P2069,Strong,Beauty,BrandA,62.68,3,2024-11-19,C1630,North,Johnsonmouth,Social Media,Not Returned,Not Returned,0,0
O100144,P2801,Between,Beauty,BrandA,223.25,3,2025-04-25,C8993,West,Montesburgh,Direct,Not Returned,Not Returned,0,0
O100145,P2318,Culture,Apparel,BrandC,94.16,2,2025-03-15,C8350,South,New Ericmouth,Email,Not Returned,Not Returned,0,0
O100146,P6679,By,Electronics,BrandC,256.51,1,2025-04-19,C9262,West,West Luismouth,Email,Not Returned,Not Returned,0,0
O100147,P1657,Possible,Beauty,BrandC,74.82,3,2025-02-25,C4491,South,East Jacobchester,Ads,Not Returned,Not Returned,0,0
O100148,P7074,Military,Home,BrandA,358.94,3,2025-01-20,C8143,North,East Dianaton,Direct,Not Returned,Not Returned,0,0
O100149,P9608,You,Apparel,BrandC,193.29,2,2025-01-07,C6302,West,South Jeff,Influencer,Not Returned,Not Returned,0,0
O100150,P4532,Me,Books,BrandC,263.88,2,2024-11-10,C4404,West,Matthewton,Email,Not Returned,Not Returned,0,0
O100151,P5622,Accept,Beauty,BrandC,386.3,1,2025-02-06,C1551,South,Weavertown,Ads,Not Returned,Not Returned,0,0
O100152,P4159,Fact,Books,BrandD,211.53,2,2025-03-11,C7176,West,New Angelastad,Influencer,Not Returned,Not Returned,0,0
O100153,P9710,Take,Home,BrandC,251.77,1,2025-05-07,C9485,West,Smithburgh,Direct,Not Returned,Not Returned,0,0
O100154,P9139,Right,Books,BrandC,103.43,2,2025-03-06,C8448,East,Marksstad,Email,Not Returned,Not Returned,0,0
O100155,P4658,Official,Books,BrandA,76.91,3,2024-12-14,C7867,South,New Yolanda,Social Media,Wrong item,Approved,1,7
O100156,P8111,Every,Beauty,BrandC,310.74,3,2025-03-15,C9863,North,Bradleyville,Influencer,Not Returned,Not Returned,0,0
O100157,P4149,Party,Apparel,BrandC,135.83,3,2025-04-15,C4011,North,Jonesburgh,Influencer,Not Returned,Not Returned,0,0
O100158,P7868,Travel,Books,BrandA,84.41,3,2025-03-01,C2860,East,Melanieberg,Influencer,Not Returned,Not Returned,0,0
O100159,P2824,Father,Books,BrandD,236.93,2,2025-01-18,C1428,South,East Timland,Email,Not Returned,Not Returned,0,0
O100160,P2788,Make,Electronics,BrandC,38.27,1,2024-11-23,C3589,East,Meganton,Email,Not Returned,Not Returned,0,0
O100161,P4321,President,Books,BrandA,72.5,1,2024-12-22,C8639,West,Lewismouth,Direct,Not Returned,Not Returned,0,0
O100162,P4896,North,Home,BrandB,140.09,3,2025-01-05,C8863,East,Liubury,Ads,Not Returned,Not Returned,0,0
O100163,P3736,Finish,Apparel,BrandB,407.13,1,2025-01-11,C2950,West,Nealland,Ads,Not as described,Approved,1,5
O100164,P6151,Will,Home,BrandB,340.72,3,2024-11-22,C9316,North,Ericamouth,Ads,Not Returned,Not Returned,0,0
O100165,P3382,Heart,Books,BrandA,414.07,1,2024-12-07,C6244,North,East Ashley,Email,Not Returned,Not Returned,0,0
O100166,P6156,Surface,Apparel,BrandA,78.65,1,2025-02-11,C4924,South,South Joshuaberg,Influencer,Not Returned,Not Returned,0,0
O100167,P6672,Become,Books,BrandC,278.92,2,2024-11-21,C8642,North,Millerland,Social Media,Not Returned,Not Returned,0,0
O100168,P6907,Employee,Apparel,BrandA,107.46,1,2024-12-04,C5908,North,West Matthew,Email,Wrong item,Denied,1,2
O100169,P8401,Reality,Home,BrandA,446.02,1,2024-12-02,C1704,West,Richardstad,Email,Not Returned,Not Returned,0,0
O100170,P1895,Deal,Books,BrandA,36.42,1,2024-12-05,C6451,North,Port Briantown,Direct,Not Returned,Not Returned,0,0
O100171,P2226,Art,Home,BrandD,490.66,1,2025-03-22,C9263,East,Jenniferstad,Influencer,Not Returned,Not Returned,0,0
O100172,P5408,Significant,Beauty,BrandC,336.19,1,2025-04-18,C5883,West,Raytown,Direct,Not Returned,Not Returned,0,0
O100173,P8260,Instead,Electronics,BrandA,283.11,2,2025-05-03,C7918,West,Lake Connorland,Email,Not Returned,Not Returned,0,0
O100174,P2926,Story,Home,BrandB,312.56,2,2025-03-30,C3095,East,West Teresastad,Ads,Defective,Approved,1,11
O100175,P2625,Director,Electronics,BrandD,322.41,2,2025-01-29,C9282,East,New Amy,Social Media,Late delivery,Denied,1,12
O100176,P6136,Will,Electronics,BrandB,347.83,3,2025-03-21,C1667,South,South David,Email,Not Returned,Not Returned,0,0
O100177,P2577,Case,Home,BrandD,299.14,1,2025-05-02,C8511,East,Aaronville,Social Media,Not Returned,Not Returned,0,0
O100178,P9783,Man,Beauty,BrandD,289.89,1,2024-12-11,C2101,West,Monicaton,Ads,Not Returned,Not Returned,0,0
O100179,P1242,Read,Beauty,BrandA,374.32,1,2025-05-11,C1588,South,Port Elizabethburgh,Influencer,Not Returned,Not Returned,0,0
O100180,P8448,Gas,Beauty,BrandC,44.35,1,2025-01-13,C5804,North,Richardberg,Ads,Not Returned,Not Returned,0,0
O100181,P5245,Green,Books,BrandB,167.38,3,2025-01-25,C1693,South,Lake James,Direct,Not Returned,Not Returned,0,0
O100182,P6351,Key,Apparel,BrandB,44.91,2,2025-01-26,C1570,North,North Susan,Direct,Not Returned,Not Returned,0,0
O100183,P5279,Several,Electronics,BrandC,16.57,1,2025-04-20,C5583,North,Tracystad,Direct,Not Returned,Not Returned,0,0
O100184,P6003,Soon,Electronics,BrandC,286.24,3,2025-03-31,C2738,South,Josephberg,Direct,Not as described,Denied,1,3
O100185,P5089,Today,Home,BrandC,112.53,3,2024-11-20,C4135,East,Ericburgh,Direct,Not Returned,Not Returned,0,0
O100186,P8681,Store,Home,BrandB,202.83,2,2025-04-12,C7883,West,Woodmouth,Influencer,Not Returned,Not Returned,0,0
O100187,P8886,News,Apparel,BrandD,236.76,3,2024-12-21,C1799,South,Port Larryborough,Influencer,Not Returned,Not Returned,0,0
O100188,P7158,News,Books,BrandC,27.79,1,2024-11-13,C2486,East,New Charleston,Ads,Changed mind,Denied,1,12
O100189,P8005,Including,Electronics,BrandA,255.01,3,2025-02-25,C2464,East,North Maryside,Influencer,Not Returned,Not Returned,0,0
O100190,P1941,New,Apparel,BrandB,208.15,1,2024-11-30,C2909,East,Michellestad,Influencer,Not Returned,Not Returned,0,0
O100191,P9062,More,Apparel,BrandB,289.58,3,2025-05-08,C7975,West,Mclaughlinhaven,Ads,Not Returned,Not Returned,0,0
O100192,P7761,Bar,Electronics,BrandB,262.4,2,2025-02-09,C5206,West,Lake Katherineland,Social Media,Late delivery,Denied,1,8
O100193,P5065,As,Electronics,BrandC,437.92,2,2025-02-28,C5878,North,Morganview,Ads,Not Returned,Not Returned,0,0
O100194,P5751,Computer,Apparel,BrandD,267.61,2,2025-02-04,C8884,East,Mooretown,Direct,Not Returned,Not Returned,0,0
O100195,P1201,Degree,Books,BrandB,34.14,1,2025-01-21,C9979,South,Nicholeshire,Social Media,Not Returned,Not Returned,0,0
O100196,P4678,Generation,Electronics,BrandA,58.7,1,2024-11-27,C3460,North,South Francistown,Direct,Changed mind,Approved,1,2
O100197,P7517,Your,Beauty,BrandB,118.28,1,2025-05-07,C2599,West,Perezhaven,Influencer,Not Returned,Not Returned,0,0
O100198,P7249,Improve,Electronics,BrandA,483.57,1,2025-02-26,C4341,East,Griffithfort,Direct,Late delivery,Approved,1,14
O100199,P5999,Kitchen,Apparel,BrandC,144.75,2,2025-03-22,C3670,North,East Ashley,Email,Not Returned,Not Returned,0,0
O100200,P3418,Choose,Beauty,BrandD,153.38,2,2025-02-10,C4849,South,Lake Alicia,Ads,Not Returned,Not Returned,0,0
O100201,P7696,Simply,Apparel,BrandA,396.72,1,2025-03-13,C7804,West,Brownton,Ads,Not Returned,Not Returned,0,0
O100202,P7200,Safe,Apparel,BrandA,205.97,2,2025-02-24,C9550,West,Lemouth,Social Media,Not Returned,Not Returned,0,0
O100203,P2113,Week,Electronics,BrandD,381.42,1,2025-03-30,C3103,South,Katherineside,Direct,Wrong item,Denied,1,10
O100204,P8975,Wife,Electronics,BrandC,66.36,3,2025-01-25,C7677,West,Lake Benjamin,Ads,Not Returned,Not Returned,0,0
O100205,P3518,Stand,Beauty,BrandB,331.41,3,2025-01-08,C2183,East,Fitzgeraldfurt,Email,Not Returned,Not Returned,0,0
O100206,P1329,Type,Beauty,BrandC,148.96,2,2025-03-09,C9331,West,Jasonfort,Direct,Not Returned,Not Returned,0,0
O100207,P2541,Exactly,Books,BrandB,18.9,1,2025-02-21,C4360,East,Melissashire,Ads,Not Returned,Not Returned,0,0
O100208,P5341,No,Apparel,BrandD,139.8,1,2025-04-23,C9338,East,Lake Lawrence,Direct,Not as described,Approved,1,12
